url,slug,season,pattern,status
https://www.topyacht.net.au/results/cycsa/2019-20/club/index.htm,cycsa,2019-20,slug/season/club,404
https://www.topyacht.net.au/results/2019-2020/cycsa/index.htm,cycsa,2019-2020,season/slug,404
https://www.topyacht.net.au/results/cycsa/2019-2020/club/index.htm,cycsa,2019-2020,slug/season/club,404
https://www.topyacht.net.au/results/2020/cycsa/index.htm,cycsa,2020,season/slug,404
https://www.topyacht.net.au/results/cycsa/2020/club/index.htm,cycsa,2020,slug/season/club,200
https://www.topyacht.net.au/results/2020-21/cycsa/index.htm,cycsa,2020-21,season/slug,404
https://www.topyacht.net.au/results/cycsa/2020-21/club/index.htm,cycsa,2020-21,slug/season/club,404
https://www.topyacht.net.au/results/2020-2021/cycsa/index.htm,cycsa,2020-2021,season/slug,404
https://www.topyacht.net.au/results/cycsa/2020-2021/club/index.htm,cycsa,2020-2021,slug/season/club,404
https://www.topyacht.net.au/results/2021/cycsa/index.htm,cycsa,2021,season/slug,404
https://www.topyacht.net.au/results/cycsa/2021/club/index.htm,cycsa,2021,slug/season/club,200
https://www.topyacht.net.au/results/2021-22/cycsa/index.htm,cycsa,2021-22,season/slug,404
https://www.topyacht.net.au/results/cycsa/2021-22/club/index.htm,cycsa,2021-22,slug/season/club,404
https://www.topyacht.net.au/results/2021-2022/cycsa/index.htm,cycsa,2021-2022,season/slug,404
https://www.topyacht.net.au/results/cycsa/2021-2022/club/index.htm,cycsa,2021-2022,slug/season/club,404
https://www.topyacht.net.au/results/2022/cycsa/index.htm,cycsa,2022,season/slug,404
https://www.topyacht.net.au/results/cycsa/2022/club/index.htm,cycsa,2022,slug/season/club,200
https://www.topyacht.net.au/results/2022-23/cycsa/index.htm,cycsa,2022-23,season/slug,404
https://www.topyacht.net.au/results/cycsa/2022-23/club/index.htm,cycsa,2022-23,slug/season/club,404
https://www.topyacht.net.au/results/2022-2023/cycsa/index.htm,cycsa,2022-2023,season/slug,404
https://www.topyacht.net.au/results/cycsa/2022-2023/club/index.htm,cycsa,2022-2023,slug/season/club,404
https://www.topyacht.net.au/results/2023/cycsa/index.htm,cycsa,2023,season/slug,404
https://www.topyacht.net.au/results/cycsa/2023/club/index.htm,cycsa,2023,slug/season/club,404
https://www.topyacht.net.au/results/2023-24/cycsa/index.htm,cycsa,2023-24,season/slug,404
https://www.topyacht.net.au/results/cycsa/2023-24/club/index.htm,cycsa,2023-24,slug/season/club,404
https://www.topyacht.net.au/results/2023-2024/cycsa/index.htm,cycsa,2023-2024,season/slug,404
https://www.topyacht.net.au/results/cycsa/2023-2024/club/index.htm,cycsa,2023-2024,slug/season/club,404
https://www.topyacht.net.au/results/2024/cycsa/index.htm,cycsa,2024,season/slug,404
https://www.topyacht.net.au/results/cycsa/2024/club/index.htm,cycsa,2024,slug/season/club,404
https://www.topyacht.net.au/results/2024-25/cycsa/index.htm,cycsa,2024-25,season/slug,404
https://www.topyacht.net.au/results/cycsa/2024-25/club/index.htm,cycsa,2024-25,slug/season/club,404
https://www.topyacht.net.au/results/2024-2025/cycsa/index.htm,cycsa,2024-2025,season/slug,404
https://www.topyacht.net.au/results/cycsa/2024-2025/club/index.htm,cycsa,2024-2025,slug/season/club,404
https://www.topyacht.net.au/results/2025/cycsa/index.htm,cycsa,2025,season/slug,404
https://www.topyacht.net.au/results/cycsa/2025/club/index.htm,cycsa,2025,slug/season/club,200
https://www.topyacht.net.au/results/2025-26/cycsa/index.htm,cycsa,2025-26,season/slug,404
https://www.topyacht.net.au/results/cycsa/2025-26/club/index.htm,cycsa,2025-26,slug/season/club,404
https://www.topyacht.net.au/results/2025-2026/cycsa/index.htm,cycsa,2025-2026,season/slug,404
https://www.topyacht.net.au/results/cycsa/2025-2026/club/index.htm,cycsa,2025-2026,slug/season/club,404
https://www.topyacht.net.au/results/2019/hbyc/index.htm,hbyc,2019,season/slug,404
https://www.topyacht.net.au/results/hbyc/2019/club/index.htm,hbyc,2019,slug/season/club,404
https://www.topyacht.net.au/results/2019-20/hbyc/index.htm,hbyc,2019-20,season/slug,404
https://www.topyacht.net.au/results/hbyc/2019-20/club/index.htm,hbyc,2019-20,slug/season/club,404
https://www.topyacht.net.au/results/2019-2020/hbyc/index.htm,hbyc,2019-2020,season/slug,404
https://www.topyacht.net.au/results/hbyc/2019-2020/club/index.htm,hbyc,2019-2020,slug/season/club,404
https://www.topyacht.net.au/results/2020/hbyc/index.htm,hbyc,2020,season/slug,404
https://www.topyacht.net.au/results/hbyc/2020/club/index.htm,hbyc,2020,slug/season/club,404
https://www.topyacht.net.au/results/2020-21/hbyc/index.htm,hbyc,2020-21,season/slug,404
https://www.topyacht.net.au/results/hbyc/2020-21/club/index.htm,hbyc,2020-21,slug/season/club,404
https://www.topyacht.net.au/results/2020-2021/hbyc/index.htm,hbyc,2020-2021,season/slug,404
https://www.topyacht.net.au/results/hbyc/2020-2021/club/index.htm,hbyc,2020-2021,slug/season/club,404
https://www.topyacht.net.au/results/2021/hbyc/index.htm,hbyc,2021,season/slug,404
https://www.topyacht.net.au/results/hbyc/2021/club/index.htm,hbyc,2021,slug/season/club,404
https://www.topyacht.net.au/results/2021-22/hbyc/index.htm,hbyc,2021-22,season/slug,404
https://www.topyacht.net.au/results/hbyc/2021-22/club/index.htm,hbyc,2021-22,slug/season/club,404
https://www.topyacht.net.au/results/2021-2022/hbyc/index.htm,hbyc,2021-2022,season/slug,404
https://www.topyacht.net.au/results/hbyc/2021-2022/club/index.htm,hbyc,2021-2022,slug/season/club,404
https://www.topyacht.net.au/results/2022/hbyc/index.htm,hbyc,2022,season/slug,404
https://www.topyacht.net.au/results/hbyc/2022/club/index.htm,hbyc,2022,slug/season/club,404
https://www.topyacht.net.au/results/2022-23/hbyc/index.htm,hbyc,2022-23,season/slug,404
https://www.topyacht.net.au/results/hbyc/2022-23/club/index.htm,hbyc,2022-23,slug/season/club,404
https://www.topyacht.net.au/results/2022-2023/hbyc/index.htm,hbyc,2022-2023,season/slug,404
https://www.topyacht.net.au/results/hbyc/2022-2023/club/index.htm,hbyc,2022-2023,slug/season/club,404
https://www.topyacht.net.au/results/2023/hbyc/index.htm,hbyc,2023,season/slug,404
https://www.topyacht.net.au/results/hbyc/2023/club/index.htm,hbyc,2023,slug/season/club,404
https://www.topyacht.net.au/results/2023-24/hbyc/index.htm,hbyc,2023-24,season/slug,404
https://www.topyacht.net.au/results/hbyc/2023-24/club/index.htm,hbyc,2023-24,slug/season/club,404
https://www.topyacht.net.au/results/2023-2024/hbyc/index.htm,hbyc,2023-2024,season/slug,404
https://www.topyacht.net.au/results/hbyc/2023-2024/club/index.htm,hbyc,2023-2024,slug/season/club,404
https://www.topyacht.net.au/results/2024/hbyc/index.htm,hbyc,2024,season/slug,404
https://www.topyacht.net.au/results/hbyc/2024/club/index.htm,hbyc,2024,slug/season/club,404
https://www.topyacht.net.au/results/2024-25/hbyc/index.htm,hbyc,2024-25,season/slug,404
https://www.topyacht.net.au/results/hbyc/2024-25/club/index.htm,hbyc,2024-25,slug/season/club,404
https://www.topyacht.net.au/results/2024-2025/hbyc/index.htm,hbyc,2024-2025,season/slug,404
https://www.topyacht.net.au/results/hbyc/2024-2025/club/index.htm,hbyc,2024-2025,slug/season/club,404
https://www.topyacht.net.au/results/2025/hbyc/index.htm,hbyc,2025,season/slug,404
https://www.topyacht.net.au/results/hbyc/2025/club/index.htm,hbyc,2025,slug/season/club,404
https://www.topyacht.net.au/results/2025-26/hbyc/index.htm,hbyc,2025-26,season/slug,404
https://www.topyacht.net.au/results/hbyc/2025-26/club/index.htm,hbyc,2025-26,slug/season/club,404
https://www.topyacht.net.au/results/2025-2026/hbyc/index.htm,hbyc,2025-2026,season/slug,404
https://www.topyacht.net.au/results/hbyc/2025-2026/club/index.htm,hbyc,2025-2026,slug/season/club,404
https://www.topyacht.net.au/results/2019/hyc/index.htm,hyc,2019,season/slug,404
https://www.topyacht.net.au/results/hyc/2019/club/index.htm,hyc,2019,slug/season/club,404
https://www.topyacht.net.au/results/2019-20/hyc/index.htm,hyc,2019-20,season/slug,404
https://www.topyacht.net.au/results/hyc/2019-20/club/index.htm,hyc,2019-20,slug/season/club,404
https://www.topyacht.net.au/results/2019-2020/hyc/index.htm,hyc,2019-2020,season/slug,404
https://www.topyacht.net.au/results/hyc/2019-2020/club/index.htm,hyc,2019-2020,slug/season/club,404
https://www.topyacht.net.au/results/2020/hyc/index.htm,hyc,2020,season/slug,404
https://www.topyacht.net.au/results/hyc/2020/club/index.htm,hyc,2020,slug/season/club,404
https://www.topyacht.net.au/results/2020-21/hyc/index.htm,hyc,2020-21,season/slug,404
https://www.topyacht.net.au/results/hyc/2020-21/club/index.htm,hyc,2020-21,slug/season/club,404
https://www.topyacht.net.au/results/2020-2021/hyc/index.htm,hyc,2020-2021,season/slug,404
https://www.topyacht.net.au/results/hyc/2020-2021/club/index.htm,hyc,2020-2021,slug/season/club,404
https://www.topyacht.net.au/results/2021/hyc/index.htm,hyc,2021,season/slug,404
https://www.topyacht.net.au/results/hyc/2021/club/index.htm,hyc,2021,slug/season/club,404
https://www.topyacht.net.au/results/2021-22/hyc/index.htm,hyc,2021-22,season/slug,404
https://www.topyacht.net.au/results/hyc/2021-22/club/index.htm,hyc,2021-22,slug/season/club,404
https://www.topyacht.net.au/results/2021-2022/hyc/index.htm,hyc,2021-2022,season/slug,404
https://www.topyacht.net.au/results/hyc/2021-2022/club/index.htm,hyc,2021-2022,slug/season/club,404
https://www.topyacht.net.au/results/2022/hyc/index.htm,hyc,2022,season/slug,404
https://www.topyacht.net.au/results/hyc/2022/club/index.htm,hyc,2022,slug/season/club,404
https://www.topyacht.net.au/results/2022-23/hyc/index.htm,hyc,2022-23,season/slug,404
https://www.topyacht.net.au/results/hyc/2022-23/club/index.htm,hyc,2022-23,slug/season/club,404
https://www.topyacht.net.au/results/2022-2023/hyc/index.htm,hyc,2022-2023,season/slug,404
https://www.topyacht.net.au/results/hyc/2022-2023/club/index.htm,hyc,2022-2023,slug/season/club,404
https://www.topyacht.net.au/results/2023/hyc/index.htm,hyc,2023,season/slug,404
https://www.topyacht.net.au/results/hyc/2023/club/index.htm,hyc,2023,slug/season/club,404
https://www.topyacht.net.au/results/2023-24/hyc/index.htm,hyc,2023-24,season/slug,404
https://www.topyacht.net.au/results/hyc/2023-24/club/index.htm,hyc,2023-24,slug/season/club,404
https://www.topyacht.net.au/results/2023-2024/hyc/index.htm,hyc,2023-2024,season/slug,404
https://www.topyacht.net.au/results/hyc/2023-2024/club/index.htm,hyc,2023-2024,slug/season/club,404
https://www.topyacht.net.au/results/2024/hyc/index.htm,hyc,2024,season/slug,404
https://www.topyacht.net.au/results/hyc/2024/club/index.htm,hyc,2024,slug/season/club,404
https://www.topyacht.net.au/results/2024-25/hyc/index.htm,hyc,2024-25,season/slug,404
https://www.topyacht.net.au/results/hyc/2024-25/club/index.htm,hyc,2024-25,slug/season/club,404
https://www.topyacht.net.au/results/2024-2025/hyc/index.htm,hyc,2024-2025,season/slug,404
https://www.topyacht.net.au/results/hyc/2024-2025/club/index.htm,hyc,2024-2025,slug/season/club,404
https://www.topyacht.net.au/results/2025/hyc/index.htm,hyc,2025,season/slug,404
https://www.topyacht.net.au/results/hyc/2025/club/index.htm,hyc,2025,slug/season/club,404
https://www.topyacht.net.au/results/2025-26/hyc/index.htm,hyc,2025-26,season/slug,404
https://www.topyacht.net.au/results/hyc/2025-26/club/index.htm,hyc,2025-26,slug/season/club,404
https://www.topyacht.net.au/results/2025-2026/hyc/index.htm,hyc,2025-2026,season/slug,404
https://www.topyacht.net.au/results/hyc/2025-2026/club/index.htm,hyc,2025-2026,slug/season/club,404
https://www.topyacht.net.au/results/2019/mcys/index.htm,mcys,2019,season/slug,404
https://www.topyacht.net.au/results/mcys/2019/club/index.htm,mcys,2019,slug/season/club,404
https://www.topyacht.net.au/results/2019-20/mcys/index.htm,mcys,2019-20,season/slug,404
https://www.topyacht.net.au/results/mcys/2019-20/club/index.htm,mcys,2019-20,slug/season/club,404
https://www.topyacht.net.au/results/2019-2020/mcys/index.htm,mcys,2019-2020,season/slug,404
https://www.topyacht.net.au/results/mcys/2019-2020/club/index.htm,mcys,2019-2020,slug/season/club,404
https://www.topyacht.net.au/results/2020/mcys/index.htm,mcys,2020,season/slug,404
https://www.topyacht.net.au/results/mcys/2020/club/index.htm,mcys,2020,slug/season/club,404
https://www.topyacht.net.au/results/2020-21/mcys/index.htm,mcys,2020-21,season/slug,404
